mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__init_type,param_classifier__learning_rate,param_classifier__n_epochs,param_classifier__penalty,param_classifier__penalty_strength,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy
0.6875877857208252,0.07339362441550687,0.01994490623474121,0.005623171105163668,zero,1.0,50,l1,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.001}",0.6641221374045801,0.5648854961832062,0.6923076923076923,0.6,0.6307692307692307,0.6304169113329419,0.04513577301820148,464,0.6941176470588235,0.4823529411764706,0.7176470588235294,0.611764705882353,0.5119047619047619,0.6035574229691877,0.09420795653891416,537,0.6086956521739131,0.717391304347826,0.6444444444444445,0.5777777777777777,0.8478260869565217,0.6792270531400966,0.09628977945300918,144,0.56,0.5365853658536586,0.5918367346938775,0.5,0.6190476190476191,0.5614939439190311,0.04156268697089269,189,0.6514066496163683,0.5998721227621483,0.681045751633987,0.5947712418300654,0.6798654244306418,0.6413922380546422,0.037550800020535666,315
0.7027316570281983,0.05008409448835158,0.016850900650024415,0.0027667378059073517,zero,1.0,50,l1,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.01}",0.7022900763358778,0.6106870229007634,0.676923076923077,0.6384615384615384,0.7769230769230769,0.6810569583088666,0.05731412491860168,7,0.7058823529411765,0.6705882352941176,0.7647058823529411,0.6352941176470588,0.8095238095238095,0.7171988795518207,0.06291234213538964,17,0.6956521739130435,0.5,0.5111111111111111,0.6444444444444445,0.717391304347826,0.613719806763285,0.0915045730360425,435,0.6213592233009708,0.4742268041237113,0.5227272727272727,0.5523809523809524,0.6947368421052632,0.573086218927634,0.07728786773004906,103,0.70076726342711,0.5852941176470587,0.6379084967320261,0.6398692810457516,0.7634575569358177,0.6654593431575528,0.06114026976762385,64
0.7134280204772949,0.0728173740694857,0.020520496368408202,0.0014715970924978204,zero,1.0,50,l1,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.1}",0.6641221374045801,0.5572519083969466,0.7076923076923077,0.5307692307692308,0.6923076923076923,0.6304286553141514,0.0724165383368302,461,0.611764705882353,0.4,0.9529411764705882,0.3411764705882353,0.6309523809523809,0.5873669467787115,0.21533953721890717,597,0.7608695652173914,0.8478260869565217,0.24444444444444444,0.8888888888888888,0.8043478260869565,0.7092753623188406,0.23631582239714127,67,0.6140350877192983,0.5735294117647058,0.36666666666666664,0.5673758865248227,0.6491228070175439,0.5541459719386074,0.09829195661426685,264,0.6863171355498722,0.6239130434782609,0.5986928104575163,0.6150326797385621,0.7176501035196687,0.648321154548776,0.04564438347947231,230
0.7254204750061035,0.07519591250822241,0.0185150146484375,0.00454926014995871,zero,1.0,50,l2,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.001}",0.6717557251908397,0.5572519083969466,0.676923076923077,0.6538461538461539,0.7538461538461538,0.6627246036406342,0.06291201955840357,66,0.7176470588235294,0.4823529411764706,0.7411764705882353,0.6705882352941176,0.6904761904761905,0.6604481792717086,0.09220757546547172,197,0.5869565217391305,0.6956521739130435,0.5555555555555556,0.6222222222222222,0.8695652173913043,0.6659903381642512,0.111964627694609,202,0.5567010309278351,0.5245901639344263,0.5434782608695652,0.5544554455445545,0.7142857142857143,0.5787021231124191,0.06873672122414062,78,0.65230179028133,0.589002557544757,0.6483660130718955,0.6464052287581699,0.7800207039337475,0.6632192587179799,0.06288595704019295,78
0.5899298191070557,0.10076342532654554,0.016795635223388672,0.004187556169283692,zero,1.0,50,l2,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.01}",0.648854961832061,0.5801526717557252,0.6538461538461539,0.5384615384615384,0.6615384615384615,0.616570757486788,0.04874658243750739,574,0.6235294117647059,0.5294117647058824,0.7529411764705882,0.5529411764705883,0.5,0.591764705882353,0.09033578268448218,582,0.6956521739130435,0.6739130434782609,0.4666666666666667,0.5111111111111111,0.9565217391304348,0.6607729468599034,0.1725876495225519,233,0.5818181818181818,0.5299145299145299,0.4827586206896552,0.4339622641509434,0.6666666666666666,0.5390240526479955,0.08051178304452523,389,0.6595907928388747,0.6016624040920716,0.6098039215686275,0.5320261437908497,0.7282608695652174,0.6262688263711281,0.06522420202906337,480
0.6590525150299072,0.07299923230485822,0.013782453536987305,0.004065022299061172,zero,1.0,50,l2,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.1}",0.6106870229007634,0.5114503816793893,0.7,0.6846153846153846,0.7692307692307693,0.6551967116852613,0.08777320664864115,127,0.4823529411764706,0.29411764705882354,0.8823529411764706,0.6235294117647059,0.7380952380952381,0.6040896358543417,0.20330682727204658,528,0.8478260869565217,0.9130434782608695,0.35555555555555557,0.8,0.8260869565217391,0.7485024154589371,0.2000087748080903,17,0.6046511627906976,0.5675675675675675,0.4507042253521127,0.6371681415929203,0.7169811320754716,0.595414445875754,0.0875484366445238,24,0.6650895140664962,0.6035805626598465,0.6189542483660131,0.711764705882353,0.7820910973084887,0.6762960256566395,0.06504126128309569,19
0.7236584186553955,0.11268437426214815,0.014711856842041016,0.005792870920706392,zero,1.0,50,elasticnet,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.001}",0.6259541984732825,0.5648854961832062,0.6846153846153846,0.6,0.7538461538461538,0.6458602466236054,0.0666621932757459,254,0.6235294117647059,0.5058823529411764,0.6941176470588235,0.4823529411764706,0.7023809523809523,0.6016526610644257,0.09228101604453659,549,0.6304347826086957,0.6739130434782609,0.6666666666666666,0.8222222222222222,0.8478260869565217,0.7282125603864733,0.08881671087626584,38,0.5420560747663551,0.5210084033613446,0.594059405940594,0.5873015873015873,0.7090909090909091,0.590703276092158,0.06521103008392357,36,0.6269820971867008,0.5898976982097186,0.6803921568627451,0.6522875816993464,0.775103519668737,0.6649326107254496,0.06262108762602331,69
0.7458744525909424,0.1264409781254329,0.01668100357055664,0.0035243359211851785,zero,1.0,50,elasticnet,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.01}",0.6641221374045801,0.5114503816793893,0.6461538461538462,0.6461538461538462,0.7461538461538462,0.6428068115091016,0.07538152244061785,297,0.7411764705882353,0.3411764705882353,0.8,0.5529411764705883,0.7023809523809523,0.6275350140056023,0.1648186412550917,411,0.5217391304347826,0.8260869565217391,0.35555555555555557,0.8222222222222222,0.8260869565217391,0.6703381642512077,0.19634352713630052,182,0.5217391304347826,0.5428571428571428,0.41025641025641024,0.6166666666666667,0.6972477064220184,0.5577534113274041,0.09612879130218999,229,0.631457800511509,0.5836317135549872,0.5777777777777778,0.6875816993464052,0.7642339544513457,0.648936589128405,0.0698866772027128,224
0.7704635620117187,0.09254400133141748,0.018433904647827147,0.005145278466956836,zero,1.0,50,elasticnet,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.1}",0.6335877862595419,0.5572519083969466,0.7076923076923077,0.6153846153846154,0.7615384615384615,0.6550910158543746,0.0717069489868662,132,0.5764705882352941,0.3764705882352941,0.9058823529411765,0.5058823529411764,0.6904761904761905,0.6110364145658262,0.1791748337693261,502,0.7391304347826086,0.8913043478260869,0.3333333333333333,0.8222222222222222,0.8913043478260869,0.7354589371980677,0.20872083405060698,31,0.5862068965517241,0.5857142857142857,0.4411764705882353,0.5967741935483871,0.7256637168141593,0.5871071126433582,0.09009981982119035,46,0.6578005115089514,0.6338874680306905,0.6196078431372549,0.6640522875816993,0.7908902691511387,0.673247675881947,0.06097443304079472,28
1.2463032245635985,0.14031960282894798,0.016876649856567384,0.004086061050174315,zero,1.0,100,l1,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.001}",0.5877862595419847,0.5343511450381679,0.6461538461538462,0.5923076923076923,0.7307692307692307,0.6182736347621844,0.06645187703153194,555,0.7176470588235294,0.47058823529411764,0.8117647058823529,0.5882352941176471,0.6071428571428571,0.6390756302521009,0.11660825894097222,342,0.34782608695652173,0.6521739130434783,0.3333333333333333,0.6,0.9565217391304348,0.5779710144927537,0.22895688685568588,548,0.37209302325581395,0.49586776859504134,0.39473684210526316,0.5046728971962616,0.7154471544715447,0.4965635371247849,0.12152190617236303,593,0.5327365728900255,0.5613810741687979,0.5725490196078431,0.5941176470588235,0.7818322981366459,0.6085233223724271,0.08888610463270666,593
