mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__init_type,param_classifier__learning_rate,param_classifier__n_epochs,param_classifier__penalty,param_classifier__penalty_strength,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy
2.065378809,0.112678258,0.027745533,0.005978693,zero,1,100,l1,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.01}",0.717557252,0.58778626,0.661538462,0.776923077,0.776923077,0.704145625,0.072288117,504,0.882352941,0.682352941,0.694117647,0.882352941,0.797619048,0.787759104,0.087031475,580,0.413043478,0.413043478,0.6,0.577777778,0.739130435,0.548599034,0.123730587,144,0.506666667,0.413043478,0.551020408,0.641975309,0.701030928,0.562747358,0.101087319,381,0.771611253,0.572890026,0.717647059,0.760261438,0.875776398,0.739637235,0.098254534,551,0.64769821,0.54769821,0.647058824,0.730065359,0.768374741,0.668179069,0.076485624,416
1.989710665,0.136012987,0.031249428,0.006221631,zero,1,100,l1,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.1}",0.687022901,0.648854962,0.753846154,0.561538462,0.7,0.670252496,0.063922853,610,0.882352941,1,0.882352941,0.823529412,0.916666667,0.900980392,0.057868057,99,0.326086957,0,0.511111111,0.066666667,0.304347826,0.241642512,0.185840683,611,0.422535211,0,0.58974359,0.095238095,0.417910448,0.305085469,0.221209054,635,0.674424552,0.529923274,0.759215686,0.391372549,0.69047619,0.60908245,0.131983557,642,0.604219949,0.5,0.696732026,0.445098039,0.610507246,0.571311452,0.088729644,639
1.897419453,0.070190239,0.022071552,0.005421265,zero,1,100,l2,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.001}",0.72519084,0.618320611,0.646153846,0.761538462,0.807692308,0.711779213,0.070563979,460,0.894117647,0.764705882,0.682352941,0.858823529,0.797619048,0.79952381,0.074039691,556,0.413043478,0.347826087,0.577777778,0.577777778,0.826086957,0.548502415,0.165763315,147,0.513513514,0.390243902,0.530612245,0.626506024,0.752475248,0.562670186,0.121058572,383,0.796163683,0.563682864,0.721045752,0.76130719,0.884057971,0.745251492,0.105517922,539,0.653580563,0.556265985,0.630065359,0.718300654,0.811853002,0.674013112,0.086225868,394
1.858505201,0.069205217,0.024103785,0.007336834,zero,1,100,l2,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.01}",0.694656489,0.58778626,0.692307692,0.761538462,0.8,0.70725778,0.072392339,487,0.870588235,0.729411765,0.741176471,0.905882353,0.80952381,0.811316527,0.069407582,541,0.369565217,0.326086957,0.6,0.488888889,0.782608696,0.513429952,0.165135274,416,0.459459459,0.357142857,0.574468085,0.586666667,0.734693878,0.542486189,0.127408116,416,0.757033248,0.558056266,0.723660131,0.741176471,0.873706004,0.730726424,0.101103243,562,0.620076726,0.527749361,0.670588235,0.697385621,0.796066253,0.662373239,0.088407871,436
1.899295235,0.07599351,0.018496323,0.0068674,zero,1,100,l2,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'l2', 'classifier__penalty_strength': 0.1}",0.694656489,0.610687023,0.746153846,0.607692308,0.723076923,0.676453318,0.057300195,601,0.894117647,0.941176471,0.847058824,0.858823529,0.952380952,0.898711485,0.042341083,102,0.326086957,0,0.555555556,0.133333333,0.304347826,0.263864734,0.188285456,604,0.428571429,0,0.602409639,0.19047619,0.4375,0.331791452,0.211579978,615,0.69258312,0.428132992,0.768366013,0.436078431,0.802018634,0.625435838,0.161804769,638,0.610102302,0.470588235,0.70130719,0.496078431,0.628364389,0.581288109,0.085983911,632
2.351126575,0.095790678,0.022198534,0.004988135,zero,1,100,elasticnet,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.001}",0.717557252,0.618320611,0.646153846,0.761538462,0.807692308,0.710252496,0.070339512,473,0.894117647,0.764705882,0.682352941,0.858823529,0.797619048,0.79952381,0.074039691,556,0.391304348,0.347826087,0.577777778,0.577777778,0.826086957,0.544154589,0.169502197,186,0.493150685,0.390243902,0.530612245,0.626506024,0.752475248,0.558597621,0.122971169,392,0.8,0.565473146,0.721045752,0.761830065,0.883022774,0.746274347,0.105027725,535,0.642710997,0.556265985,0.630065359,0.718300654,0.811853002,0.671839199,0.08684838,407
2.352621365,0.116306988,0.020460415,0.002449742,zero,1,100,elasticnet,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.01}",0.702290076,0.572519084,0.684615385,0.8,0.8,0.711884909,0.084601489,458,0.870588235,0.694117647,0.729411765,0.917647059,0.80952381,0.804257703,0.083686754,551,0.391304348,0.347826087,0.6,0.577777778,0.782608696,0.539903382,0.156797515,215,0.48,0.363636364,0.568421053,0.666666667,0.734693878,0.562683592,0.131825121,382,0.763171355,0.564705882,0.718431373,0.755816993,0.872929607,0.735011042,0.099525026,555,0.630946292,0.520971867,0.664705882,0.747712418,0.796066253,0.672080542,0.095574977,404
2.440016365,0.096918268,0.025510311,0.00816397,zero,1,100,elasticnet,0.1,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': 'elasticnet', 'classifier__penalty_strength': 0.1}",0.679389313,0.625954198,0.738461538,0.569230769,0.715384615,0.665684087,0.061377911,614,0.870588235,0.964705882,0.858823529,0.811764706,0.952380952,0.891652661,0.058186331,134,0.326086957,0,0.511111111,0.111111111,0.282608696,0.246183575,0.17705867,608,0.416666667,0,0.575,0.151515152,0.412698413,0.311176046,0.206572154,632,0.673657289,0.434015345,0.777777778,0.393986928,0.748447205,0.605576909,0.160563812,643,0.598337596,0.482352941,0.68496732,0.461437908,0.617494824,0.568918118,0.084543651,640
3.074153662,0.154708168,0.028728676,0.005134939,zero,1,150,l1,0.001,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.001}",0.641221374,0.664122137,0.753846154,0.784615385,0.646153846,0.697991779,0.059465222,540,0.682352941,0.752941176,0.835294118,0.894117647,0.857142857,0.804369748,0.076588514,549,0.565217391,0.5,0.6,0.577777778,0.260869565,0.500772947,0.124485395,432,0.525252525,0.511111111,0.627906977,0.65,0.342857143,0.531425551,0.108974669,431,0.677237852,0.710741688,0.814117647,0.823006536,0.442287785,0.693478301,0.137833137,608,0.623785166,0.626470588,0.717647059,0.735947712,0.559006211,0.652571347,0.065499305,471
3.184217405,0.09925534,0.027922106,0.004152926,zero,1,150,l1,0.01,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': 'l1', 'classifier__penalty_strength': 0.01}",0.65648855,0.648854962,0.761538462,0.792307692,0.607692308,0.693376395,0.070877504,561,0.694117647,0.694117647,0.847058824,0.894117647,0.821428571,0.790168067,0.081817674,577,0.586956522,0.565217391,0.6,0.6,0.217391304,0.513913043,0.148804943,415,0.545454545,0.530612245,0.635294118,0.666666667,0.281690141,0.531943543,0.135382972,430,0.700767263,0.69258312,0.814379085,0.830326797,0.406832298,0.688977713,0.151962558,616,0.640537084,0.629667519,0.723529412,0.747058824,0.519409938,0.652040555,0.080452335,473
