mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__init_type,param_classifier__learning_rate,param_classifier__n_epochs,param_classifier__penalty,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy
0.9960180759429932,0.11346176859783806,0.02310318946838379,0.0019598961978589528,zero,1.0,50,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 50, 'classifier__penalty': None}",0.7022900763358778,0.5648854961832062,0.6461538461538462,0.7384615384615385,0.7384615384615385,0.6780504991192015,0.06589424680862835,70,0.7647058823529411,0.4470588235294118,0.7411764705882353,0.8705882352941177,0.8928571428571429,0.7432773109243697,0.159242699715284,70,0.5869565217391305,0.782608695652174,0.4666666666666667,0.4888888888888889,0.45652173913043476,0.556328502415459,0.1222207328392574,25,0.5806451612903226,0.5581395348837209,0.4772727272727273,0.5641025641025641,0.5526315789473685,0.5465583132993407,0.035892103929070496,63,0.7726342710997443,0.6941176470588235,0.6933333333333334,0.7877124183006536,0.8030538302277432,0.7501703000040596,0.04708088591993742,64,0.6758312020460358,0.6148337595907929,0.603921568627451,0.6797385620915033,0.6746894409937888,0.6498029066699144,0.033229184896317064,70
1.9032279968261718,0.09278362435968278,0.023726701736450195,0.006749375940526008,zero,1.0,100,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 100, 'classifier__penalty': None}",0.7175572519083969,0.6183206106870229,0.6538461538461539,0.7615384615384615,0.8,0.7102524955960071,0.0668900159466249,62,0.8941176470588236,0.7647058823529411,0.6941176470588235,0.8588235294117647,0.7857142857142857,0.7994957983193276,0.070679412902442,61,0.391304347826087,0.34782608695652173,0.5777777777777777,0.5777777777777777,0.8260869565217391,0.5441545893719806,0.16950219729852742,40,0.4931506849315068,0.3902439024390244,0.5360824742268041,0.6265060240963856,0.7450980392156863,0.5582162249818815,0.12043789911767315,60,0.8051150895140665,0.5687979539641944,0.7226143790849673,0.7623529411764706,0.8827639751552794,0.7483288677789955,0.10429451726035098,65,0.6427109974424553,0.5562659846547314,0.6359477124183006,0.7183006535947711,0.8059006211180124,0.6718251938456541,0.08440965524365421,61
2.8558327198028564,0.17823653669843006,0.02700467109680176,0.005607334906941526,zero,1.0,150,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 1.0, 'classifier__n_epochs': 150, 'classifier__penalty': None}",0.6335877862595419,0.6793893129770993,0.7538461538461538,0.7846153846153846,0.6384615384615384,0.6979800352319436,0.061091955462723835,67,0.6705882352941176,0.7764705882352941,0.8352941176470589,0.8941176470588236,0.8571428571428571,0.8067226890756303,0.0780309908575669,58,0.5652173913043478,0.5,0.6,0.5777777777777777,0.2391304347826087,0.4964251207729469,0.13288470347926767,70,0.52,0.5227272727272727,0.627906976744186,0.65,0.3188405797101449,0.5278949658363208,0.11722185256185508,67,0.6774936061381075,0.7086956521739131,0.8130718954248366,0.8222222222222223,0.44591097308488614,0.693478869808793,0.13612809054351413,71,0.6179028132992327,0.638235294117647,0.7176470588235294,0.7359477124183007,0.5481366459627329,0.6515739049242886,0.06855002341091251,69
1.0852375507354737,0.09581756540177326,0.027393817901611328,0.00668247342830327,zero,0.5,50,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.5, 'classifier__n_epochs': 50, 'classifier__penalty': None}",0.7480916030534351,0.5725190839694656,0.676923076923077,0.7538461538461538,0.7615384615384615,0.7025836758661186,0.07176314408186156,63,0.8352941176470589,0.5176470588235295,0.8,0.8705882352941177,0.8809523809523809,0.7808963585434174,0.13467004083371825,65,0.5869565217391305,0.6739130434782609,0.4444444444444444,0.5333333333333333,0.5434782608695652,0.5564251207729468,0.07480120604117373,24,0.6206896551724138,0.5254237288135594,0.4878048780487805,0.6,0.6172839506172839,0.5702404425304075,0.053755011096430376,59,0.7936061381074169,0.6961636828644502,0.742483660130719,0.8109803921568628,0.8377329192546584,0.7761933585028216,0.05067850212596204,58,0.7111253196930947,0.5957800511508952,0.6222222222222222,0.7019607843137254,0.7122153209109731,0.6686607396581821,0.049552529175925585,62
2.3429779529571535,0.05976111836060441,0.029584550857543947,0.00830666221582691,zero,0.5,100,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.5, 'classifier__n_epochs': 100, 'classifier__penalty': None}",0.7251908396946565,0.6564885496183206,0.6846153846153846,0.7461538461538462,0.823076923076923,0.7271051086318261,0.05721745022024664,56,0.9176470588235294,0.788235294117647,0.6823529411764706,0.8823529411764706,0.8333333333333334,0.8207843137254901,0.0819185555908801,52,0.3695652173913043,0.41304347826086957,0.6888888888888889,0.4888888888888889,0.8043478260869565,0.5529468599033815,0.16672605537147622,27,0.4857142857142857,0.4578313253012048,0.6019417475728155,0.5714285714285714,0.7628865979381443,0.5759605055910043,0.10745772266367694,57,0.8033248081841432,0.6352941176470588,0.7636601307189542,0.8112418300653594,0.884575569358178,0.7796192911947386,0.08205145623197664,56,0.6436061381074168,0.6006393861892583,0.6856209150326797,0.6856209150326797,0.818840579710145,0.686865586814436,0.07311201644353638,56
3.2159684181213377,0.10932522638755432,0.024863386154174806,0.003966381683660201,zero,0.5,150,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.5, 'classifier__n_epochs': 150, 'classifier__penalty': None}",0.7022900763358778,0.6717557251908397,0.7461538461538462,0.8076923076923077,0.6307692307692307,0.7117322372284204,0.06104992484249502,60,0.788235294117647,0.7058823529411765,0.8705882352941177,0.9176470588235294,0.8809523809523809,0.8326610644257701,0.0762097520516765,49,0.5434782608695652,0.6086956521739131,0.5111111111111111,0.6,0.17391304347826086,0.48743961352657,0.1608554925588049,72,0.5617977528089888,0.5656565656565656,0.5822784810126582,0.6835443037974683,0.25,0.5286554206551363,0.146275316506709,66,0.7578005115089513,0.7099744245524297,0.8018300653594771,0.8355555555555555,0.4950828157349897,0.7200486745422807,0.12013855732572115,68,0.6658567774936062,0.6572890025575449,0.6908496732026144,0.7588235294117647,0.5274327122153208,0.6600503389761702,0.07527750895502848,67
1.101426124572754,0.05283114046377873,0.031125926971435548,0.006182112512301083,zero,0.2,50,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.2, 'classifier__n_epochs': 50, 'classifier__penalty': None}",0.7709923664122137,0.648854961832061,0.7846153846153846,0.7538461538461538,0.8153846153846154,0.7547386964180858,0.0566513683071079,14,0.8588235294117647,0.6588235294117647,0.8823529411764706,0.8941176470588236,0.8690476190476191,0.8326330532212886,0.08772016273575876,50,0.6086956521739131,0.6304347826086957,0.6,0.4888888888888889,0.717391304347826,0.6090821256038648,0.07309700770972226,7,0.6511627906976745,0.5576923076923077,0.6585365853658537,0.5789473684210527,0.7333333333333333,0.6359344771020444,0.06260776574493006,3,0.8222506393861893,0.7084398976982097,0.8311111111111111,0.8358169934640522,0.8817287784679089,0.8158694840254943,0.057531716740698506,48,0.7337595907928389,0.6446291560102302,0.7411764705882353,0.6915032679738562,0.7932194616977226,0.7208575894125767,0.04997601300336451,4
2.074729251861572,0.03962762761181977,0.02782859802246094,0.005380472416196977,zero,0.2,100,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.2, 'classifier__n_epochs': 100, 'classifier__penalty': None}",0.7175572519083969,0.6946564885496184,0.7384615384615385,0.7615384615384615,0.823076923076923,0.7470581327069876,0.04399698199487073,42,0.9176470588235294,0.8470588235294118,0.7294117647058823,0.8705882352941177,0.8452380952380952,0.8419887955182073,0.062051513698050266,45,0.34782608695652173,0.41304347826086957,0.7555555555555555,0.5555555555555556,0.782608695652174,0.5709178743961353,0.17540487366445665,18,0.463768115942029,0.48717948717948717,0.6666666666666666,0.6172839506172839,0.7578947368421053,0.5985585914495144,0.11040935953970905,46,0.8202046035805627,0.6948849104859336,0.7984313725490196,0.8420915032679739,0.8881987577639752,0.808762229529493,0.06422881102481422,50,0.6327365728900256,0.6300511508951406,0.742483660130719,0.7130718954248366,0.8139233954451346,0.7064533349571713,0.0695172760041341,20
2.961842393875122,0.036606849672657434,0.026250457763671874,0.008408686091414442,zero,0.2,150,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.2, 'classifier__n_epochs': 150, 'classifier__penalty': None}",0.7633587786259542,0.6641221374045801,0.7307692307692307,0.7769230769230769,0.7230769230769231,0.731650029359953,0.03921577173816951,54,0.8941176470588236,0.6588235294117647,0.8823529411764706,0.8823529411764706,0.9761904761904762,0.8587675070028011,0.10595086189368726,28,0.5217391304347826,0.6739130434782609,0.4444444444444444,0.5777777777777777,0.2608695652173913,0.49574879227053137,0.13924592630062235,71,0.6075949367088608,0.5849056603773585,0.5333333333333333,0.6419753086419753,0.4,0.5535618478123057,0.08450962458708644,62,0.8286445012787724,0.708695652173913,0.8033986928104575,0.8543790849673203,0.738871635610766,0.7867979133682458,0.05475550904868083,55,0.7079283887468031,0.6663682864450128,0.6633986928104575,0.7300653594771241,0.6185300207039337,0.6772581496366662,0.038701244863692044,60
0.99451904296875,0.07664124644255095,0.02295656204223633,0.004599749258452982,zero,0.1,50,,"{'classifier__init_type': 'zero', 'classifier__learning_rate': 0.1, 'classifier__n_epochs': 50, 'classifier__penalty': None}",0.7633587786259542,0.6412213740458015,0.7692307692307693,0.7538461538461538,0.8076923076923077,0.7470698766881974,0.05600238578708612,40,0.8588235294117647,0.6941176470588235,0.8823529411764706,0.9058823529411765,0.8690476190476191,0.8420448179271709,0.07562155775318581,43,0.5869565217391305,0.5434782608695652,0.5555555555555556,0.4666666666666667,0.6956521739130435,0.5696618357487923,0.07438446486041102,19,0.6352941176470588,0.5154639175257731,0.625,0.5675675675675675,0.7191011235955056,0.612485345267181,0.06851940610303961,15,0.8296675191815857,0.7199488491048593,0.8394771241830066,0.8569934640522876,0.894927536231884,0.8282028985507246,0.058530789221075054,20,0.7228900255754476,0.6187979539641943,0.7189542483660131,0.6862745098039216,0.7823498964803313,0.7058533268379816,0.05343327884090401,22
